"Guillaume_1000_lines_1" "Guillaume_1000_lines_2" "Jean_1000_lines_1" "Jean_1000_lines_2"
"appeler" 0 0.06 0 0
"apprendre" 0 0 0.02 0.04
"assemblerent" 0 0 0 0.06
"assise" 0.04 0 0.02 0
"atornée" 0.02 0.04 0 0
"atour" 0 0.06 0 0
"aucuns" 0.04 0 0 0.02
"autant" 0.02 0.02 0.02 0
"autel" 0.06 0 0 0
"autour" 0 0.06 0 0
"autrefois" 0 0.02 0.04 0
"avés" 0 0 0.06 0
"avient" 0.02 0 0 0.04
"avint" 0.02 0.02 0 0.02
"baisier" 0.02 0 0 0.04
"biauté" 0.02 0 0 0.04
"bientôt" 0 0 0.02 0.04
"blâmer" 0.02 0 0 0.04
"boutons" 0 0 0 0.06
"briser" 0 0 0.06 0
"cela" 0.02 0 0.02 0.02
"ceus" 0.02 0 0.02 0.02
"chair" 0 0.02 0.04 0
"change" 0.02 0 0.02 0.02
"chantans" 0 0.06 0 0
"chantant" 0.04 0.02 0 0
"chantoient" 0.02 0.04 0 0
"charme" 0.02 0.04 0 0
"charmes" 0 0.02 0.02 0.02
"chascun" 0 0.02 0.02 0.02
"chascuns" 0 0 0.04 0.02
"chaste" 0 0 0 0.06
"chemins" 0 0 0.04 0.02
"chercher" 0 0.04 0.02 0
"chétive" 0.04 0 0.02 0
"chief" 0 0.04 0.02 0
"chien" 0 0.04 0.02 0
"chiere" 0.04 0 0.02 0
"choisir" 0 0 0.02 0.04
"ci-bas" 0.02 0.02 0.02 0
"ciel" 0.02 0.02 0.02 0
"clame" 0 0 0.06 0
"clos" 0.04 0.02 0 0
"cointe" 0.02 0.04 0 0
"cointes" 0 0.06 0 0
"color" 0.02 0.04 0 0
"conduit" 0.02 0.04 0 0
"contenance" 0.02 0.04 0 0
"contraire" 0.02 0.02 0 0.02
"corde" 0 0 0.06 0
"côte" 0.04 0 0.02 0
"courageux" 0 0 0.06 0
"croie" 0 0.02 0 0.04
