"Guillaume_1000_lines_1" "Guillaume_1000_lines_2" "Jean_1000_lines_1" "Jean_1000_lines_2"
"semblait-elle" 0 0.02 0 0
"sembloient" 0 0.02 0 0
"semé" 0 0.02 0 0
"semilles" 0 0 0.02 0
"semont" 0.02 0 0 0
"senefiance" 0.02 0 0 0
"senestre" 0.02 0 0 0
"sengler" 0 0 0 0.02
"sentait" 0.02 0 0 0
"sente" 0 0.02 0 0
"sentier" 0 0.02 0 0
"sentirait" 0 0 0.02 0
"séoit" 0.02 0 0 0
"sereine" 0.02 0 0 0
"serement" 0 0 0.02 0
"sergents" 0 0 0 0.02
"serie" 0.02 0 0 0
"série" 0 0.02 0 0
"series" 0 0.02 0 0
"serin" 0.02 0 0 0
"serjans" 0 0 0 0.02
"serjant" 0 0 0.02 0
"serment" 0 0 0.02 0
"seroit-il" 0.02 0 0 0
"seront" 0 0 0.02 0
"serpens" 0 0 0 0.02
"serre" 0 0 0 0.02
"serré" 0 0 0 0.02
"servage" 0 0 0 0.02
"servent" 0 0 0.02 0
"servent-ils" 0 0 0.02 0
"servi" 0 0.02 0 0
"serviable" 0 0 0 0.02
"serviables" 0 0 0 0.02
"service" 0 0.02 0 0
"services" 0 0 0 0.02
"serviles" 0 0 0 0.02
"serviteur" 0 0 0.02 0
"servoit" 0 0.02 0 0
"sesine" 0 0 0 0.02
"séuë" 0 0 0 0.02
"seule" 0.02 0 0 0
"seulette" 0 0.02 0 0
"seuls" 0 0 0.02 0
"séurement" 0 0 0 0.02
"séurs" 0 0 0 0.02
"séusse" 0 0.02 0 0
"sevent" 0 0 0.02 0
"sévi" 0 0.02 0 0
"sévit" 0.02 0 0 0
"siecle" 0 0 0.02 0
"sien" 0 0 0.02 0
"silencieux" 0.02 0 0 0
"sillons" 0.02 0 0 0
"sincèrement" 0.02 0 0 0
"sire" 0 0 0.02 0
"sires" 0 0 0.02 0
"site" 0 0.02 0 0
"sivent" 0 0.02 0 0
"sofferra" 0 0 0 0.02
"soffisance" 0 0 0.02 0
"soffrir" 0 0 0 0.02
"soffroit" 0.02 0 0 0
"soi-je" 0 0.02 0 0
"soi-même" 0 0 0 0.02
"soie" 0 0 0.02 0
"soit-ele" 0 0 0 0.02
"soit-elle" 0 0 0 0.02
"solace" 0 0.02 0 0
"solitude" 0 0.02 0 0
"sommeille" 0 0 0 0.02
"songé" 0.02 0 0 0
"songeai" 0.02 0 0 0
"songent" 0.02 0 0 0
"songer" 0.02 0 0 0
"songier" 0.02 0 0 0
"songoie" 0.02 0 0 0
"sonjai" 0.02 0 0 0
"sonnés" 0 0.02 0 0
"sonnets" 0 0.02 0 0
"sonore" 0 0.02 0 0
"sons" 0.02 0 0 0
"sorcelleries" 0 0 0.02 0
"sorcot" 0 0 0.02 0
"sore" 0.02 0 0 0
"sormonter" 0 0.02 0 0
"sotte" 0 0 0.02 0
"sottise" 0.02 0 0 0
"soucie" 0 0 0.02 0
"soucil" 0 0.02 0 0
"souffrance" 0.02 0 0 0
"souffre" 0.02 0 0 0
"souffrir" 0 0 0 0.02
"souille" 0.02 0 0 0
"soulage" 0.02 0 0 0
"souloie" 0.02 0 0 0
"souquenille" 0.02 0 0 0
"source" 0.02 0 0 0
"sourd" 0 0 0.02 0
"sourire" 0 0 0.02 0
"soussi" 0 0.02 0 0
"soustenuë" 0 0 0.02 0
"soutenue" 0 0 0.02 0
"soutilliée" 0.02 0 0 0
"souvienne" 0 0 0 0.02
"souvient" 0.02 0 0 0
"sovenir" 0 0 0 0.02
"sovent" 0 0 0.02 0
"soviengne" 0 0 0 0.02
"sovint" 0 0.02 0 0
"soyés" 0 0.02 0 0
"soyeuses" 0 0.02 0 0
"soyez" 0 0.02 0 0
"spectacle" 0 0 0 0.02
"splendide" 0 0.02 0 0
"structure" 0 0.02 0 0
"stupide" 0.02 0 0 0
"suant" 0 0 0.02 0
"suaves" 0 0.02 0 0
"suffirait" 0 0.02 0 0
"suffisance" 0 0 0.02 0
"suffisants" 0 0 0 0.02
"suivent" 0 0.02 0 0
"suivis" 0.02 0 0 0
"superbe" 0.02 0 0 0
"supplice" 0 0 0.02 0
"supporte" 0 0 0 0.02
"supporter" 0 0 0.02 0
"suppose" 0 0 0.02 0
"suprême" 0.02 0 0 0
"surgéure" 0 0 0 0.02
"surmontant" 0 0.02 0 0
"surmonter" 0 0 0.02 0
"surprend-il" 0 0 0 0.02
"surpris" 0 0 0 0.02
"surtout" 0 0 0 0.02
"survint" 0 0 0.02 0
"sut" 0.02 0 0 0
"sût" 0 0 0 0.02
"sut-il" 0 0 0.02 0
"syrène" 0 0.02 0 0
"syrènes" 0 0.02 0 0
"tableau" 0 0.02 0 0
"tableterresses" 0 0.02 0 0
"taillées" 0 0 0 0.02
"tailléis" 0 0 0 0.02
"tailles" 0 0 0 0.02
"taillés" 0 0 0.02 0
"taillier" 0 0 0 0.02
"taillierent" 0 0 0 0.02
"tambour" 0 0.02 0 0
"tambourineuses" 0 0.02 0 0
"tanières" 0 0 0 0.02
"tans" 0 0.02 0 0
"tanvre" 0 0 0.02 0
"tapinois" 0.02 0 0 0
"tarde" 0.02 0 0 0
"tart" 0.02 0 0 0
"tast" 0 0.02 0 0
"te" 0 0.02 0 0
"telles" 0 0.02 0 0
"témoigne" 0 0 0 0.02
"témoin" 0.02 0 0 0
"tems" 0.02 0 0 0
"tenait" 0 0.02 0 0
"tenait-elle" 0 0 0 0.02
"tencerresse" 0.02 0 0 0
"tencier" 0 0 0 0.02
"tende" 0 0 0 0.02
"tendrai" 0 0 0.02 0
"tendrement" 0 0 0 0.02
"tendresse" 0 0 0 0.02
"tendroit" 0 0 0 0.02
"tendron" 0 0 0 0.02
"tendue" 0 0.02 0 0
"tenemens" 0 0 0 0.02
"tenist" 0 0 0 0.02
"tenser" 0 0 0.02 0
"tenté" 0 0 0 0.02
"tenu" 0 0 0.02 0
"terminée" 0 0.02 0 0
"terres" 0 0 0.02 0
"terrible" 0 0 0 0.02
"terriennes" 0 0 0 0.02
"terriens" 0 0 0 0.02
"têtus" 0 0 0.02 0
"téu" 0.02 0 0 0
"thésaurise" 0 0 0.02 0
"thibaus" 0 0 0.02 0
"tibaus" 0 0 0.02 0
"tienne" 0 0 0 0.02
"tindrent" 0 0 0 0.02
"tiraille" 0 0 0.02 0
"tirant" 0 0 0.02 0
"tissée" 0 0 0.02 0
"tissu" 0 0.02 0 0
"tissuë" 0 0 0.02 0
"toaille" 0.02 0 0 0
"toilette" 0 0.02 0 0
"toldra" 0 0.02 0 0
"tolent" 0 0 0.02 0
"tolir" 0.02 0 0 0
"tolu" 0 0 0.02 0
"tolurent" 0 0 0 0.02
"tombait" 0 0.02 0 0
"tor" 0 0.02 0 0
"tormens" 0 0 0.02 0
"tornée" 0 0 0.02 0
"tornés" 0 0 0 0.02
"torra" 0 0 0 0.02
"tors" 0 0 0 0.02
"torse" 0 0 0.02 0
"torteroles" 0 0.02 0 0
"touche" 0 0 0 0.02
"toucher" 0 0.02 0 0
"touchés" 0 0 0.02 0
"touchiés" 0 0 0.02 0
"tourmenté" 0.02 0 0 0
"tourmenter" 0 0.02 0 0
"tourments" 0 0 0.02 0
"tours" 0 0 0 0.02
"tourterelles" 0 0.02 0 0
"toutevois" 0 0 0 0.02
"toz" 0.02 0 0 0
"trace" 0.02 0 0 0
"tracés" 0 0 0.02 0
"tracier" 0 0 0 0.02
"traciés" 0 0 0.02 0
"trahie" 0 0 0.02 0
"trahis" 0 0 0.02 0
"trahison" 0.02 0 0 0
"trahit" 0 0 0 0.02
"traînant" 0 0 0.02 0
"traîne" 0 0 0.02 0
"traïne" 0 0 0.02 0
"traire" 0.02 0 0 0
"trais" 0.02 0 0 0
"traïs" 0 0 0.02 0
"traitable" 0 0 0 0.02
"tranquille" 0 0.02 0 0
"tranquillement" 0 0.02 0 0
"tranquilles" 0 0 0 0.02
"travaux" 0 0 0.02 0
"travers" 0.02 0 0 0
"trecéors" 0 0 0.02 0
"trecié" 0 0.02 0 0
"trecier" 0 0.02 0 0
"trecies" 0 0.02 0 0
"treçoer" 0 0.02 0 0
"treizième" 0 0 0.02 0
"treiziesme" 0 0 0.02 0
"tremblerent" 0 0 0 0.02
"tremblèrent" 0 0 0 0.02
"trere" 0.02 0 0 0
"tresche" 0 0.02 0 0
"trésor" 0 0 0 0.02
"trespasser" 0.02 0 0 0
"tressoirs" 0 0 0.02 0
"tressuë" 0 0 0.02 0
"trestote" 0.02 0 0 0
"trestotes" 0.02 0 0 0
"trestout" 0.02 0 0 0
"tresvit" 0 0.02 0 0
"tretuit" 0 0 0.02 0
"tricherie" 0 0 0.02 0
"tricheurs" 0.02 0 0 0
"tripot" 0 0 0 0.02
"tristece" 0.02 0 0 0
"tristes" 0 0.02 0 0
"trompeurs" 0 0 0 0.02
"trouva" 0 0 0 0.02
"trouvai" 0 0 0 0.02
"trouvaient" 0 0 0.02 0
"trouvait" 0 0.02 0 0
"trouve" 0 0 0 0.02
"trouverait" 0 0 0.02 0
"trouvés" 0 0 0.02 0
"trouvez" 0 0 0 0.02
"trova" 0 0 0 0.02
"trovai" 0 0.02 0 0
"trovées" 0 0 0 0.02
"troveriez" 0 0 0 0.02
"trovés" 0 0 0 0.02
"trovoient" 0 0 0.02 0
"troyoit" 0 0 0 0.02
"trufles" 0 0 0.02 0
"truisse" 0 0 0 0.02
"tu" 0 0.02 0 0
"tue" 0 0 0 0.02
"tumultueux" 0.02 0 0 0
"tussent" 0 0 0 0.02
"tutors" 0 0 0.02 0
"tymberresses" 0 0.02 0 0
"tymbre" 0 0.02 0 0
"umbroier" 0 0.02 0 0
"ungles" 0 0 0 0.02
"usa" 0 0 0.02 0
"usage" 0.02 0 0 0
"usast" 0.02 0 0 0
"usée" 0.02 0 0 0
"user" 0.02 0 0 0
"vagabondes" 0 0 0.02 0
"vaillans" 0 0 0 0.02
"vaine" 0 0.02 0 0
"vainqueurs" 0 0.02 0 0
"vainqui" 0 0 0.02 0
"vainquit" 0 0 0.02 0
"vaire" 0.02 0 0 0
"vaisselle" 0 0 0 0.02
"vait" 0.02 0 0 0
"val" 0.02 0 0 0
"valent" 0 0 0.02 0
"valet" 0 0 0 0.02
"valeur" 0.02 0 0 0
"valeureux" 0 0 0.02 0
"vaniteuse" 0.02 0 0 0
"vanté" 0 0 0 0.02
"vanter" 0 0 0 0.02
"vantés" 0 0 0 0.02
"vaste" 0 0.02 0 0
"vaut" 0 0 0.02 0
"vautrer" 0 0 0.02 0
"vécurent" 0 0 0 0.02
"vécut" 0.02 0 0 0
"veillant" 0 0 0.02 0
"veillerait" 0 0 0 0.02
"venaient" 0 0 0 0.02
"venche" 0.02 0 0 0
"venchier" 0 0 0.02 0
"vend" 0 0 0 0.02
"vendra" 0 0 0 0.02
"vendrai" 0 0 0.02 0
"vendu" 0 0 0.02 0
"venger" 0 0 0.02 0
"venierres" 0 0 0 0.02
"venins" 0 0 0.02 0
"venoient" 0 0 0 0.02
"venrois" 0 0.02 0 0
"vens" 0 0 0.02 0
"vente" 0 0 0 0.02
"vents" 0 0 0.02 0
"venu" 0 0.02 0 0
"venuës" 0 0 0 0.02
"venus" 0 0.02 0 0
"véoit" 0 0 0 0.02
"ver" 0 0.02 0 0
"verdaier" 0 0.02 0 0
"verdoie" 0 0.02 0 0
"vergers" 0.02 0 0 0
"vergié" 0.02 0 0 0
"vérité" 0 0 0.02 0
"veritelment" 0.02 0 0 0
"vermeil" 0 0.02 0 0
"vermoille" 0 0.02 0 0
"verra" 0 0 0 0.02
"verrai" 0 0.02 0 0
"verrez" 0 0.02 0 0
"verroit" 0 0 0 0.02
"vesquist" 0.02 0 0 0
"vessellementes" 0 0 0 0.02
"veste" 0 0 0.02 0
"vestir" 0.02 0 0 0
"vestuë" 0.02 0 0 0
"vête" 0 0 0.02 0
"vêtement" 0 0.02 0 0
"vêtements" 0.02 0 0 0
"véu" 0 0.02 0 0
"véuë" 0.02 0 0 0
"véuës" 0 0 0.02 0
"veus" 0 0 0 0.02
"véus" 0 0 0.02 0
"viande" 0 0 0 0.02
"videle" 0.02 0 0 0
"vidèle" 0.02 0 0 0
"vié" 0 0.02 0 0
"vieillie" 0.02 0 0 0
"vieillir" 0.02 0 0 0
"vieillira" 0.02 0 0 0
"vieillit" 0.02 0 0 0
"vielles" 0.02 0 0 0
"viellie" 0.02 0 0 0
"viellir" 0.02 0 0 0
"viellist" 0.02 0 0 0
"viellune" 0.02 0 0 0
"vienne" 0 0 0 0.02
"viex" 0 0 0 0.02
"vifs" 0 0.02 0 0
"vigueur" 0 0.02 0 0
"vil" 0 0 0 0.02
"vilennie" 0.02 0 0 0
"ville" 0 0.02 0 0
"villes" 0 0 0 0.02
"vilonie" 0.02 0 0 0
"vils" 0 0 0.02 0
"vint-elle" 0 0 0.02 0
"vintiesme" 0.02 0 0 0
"violence" 0 0 0.02 0
"vipère" 0 0 0 0.02
"vistes" 0 0.02 0 0
"vivaient" 0 0 0.02 0
"vivant" 0 0 0 0.02
"vodroit-il" 0 0 0 0.02
"voer" 0 0 0 0.02
"voeu" 0 0 0 0.02
"voeux" 0 0 0 0.02
"voi" 0 0 0.02 0
"voici" 0.02 0 0 0
"voilà" 0 0 0.02 0
"voise" 0 0 0 0.02
"voit-on" 0 0 0.02 0
"voiz" 0 0 0.02 0
"vol" 0.02 0 0 0
"volans" 0 0 0.02 0
"voldra" 0.02 0 0 0
"volée" 0 0.02 0 0
"volées" 0 0 0 0.02
"volenté" 0 0 0 0.02
"volèrent" 0 0 0 0.02
"voleurs" 0 0 0 0.02
"voloient" 0 0 0.02 0
"voloir" 0 0 0 0.02
"voloirs" 0 0 0 0.02
"volt" 0.02 0 0 0
"volupté" 0 0 0 0.02
"vont" 0 0 0.02 0
"vorra" 0 0 0 0.02
"vosist" 0.02 0 0 0
"votis" 0 0.02 0 0
"voudrait-elle" 0.02 0 0 0
"voulait" 0 0 0 0.02
"voulez" 0 0 0.02 0
"voulu" 0 0.02 0 0
"voulut" 0 0 0 0.02
"voulût-elle" 0 0 0 0.02
"vousist" 0 0.02 0 0
"voustrer" 0 0 0.02 0
"voûtait" 0.02 0 0 0
"voyait" 0 0.02 0 0
"vrai" 0.02 0 0 0
"vraie" 0 0 0 0.02
"vrais" 0 0 0.02 0
"vueil" 0 0 0 0.02
"vuelle" 0 0 0 0.02
"vues" 0 0 0.02 0
"ymaige" 0.02 0 0 0
"ymaiges" 0.02 0 0 0
"yolé" 0 0 0.02 0
"ypocrite" 0.02 0 0 0
"yvorins" 0 0 0.02 0
"yvres" 0 0 0.02 0
